央视,#genre#
CCTV1,http://61.138.167.36:9901/tsfile/live/0001_1.m3u8
CCTV2,http://61.138.167.36:9901/tsfile/live/0002_1.m3u8
CCTV3,http://61.138.167.36:9901/tsfile/live/0003_1.m3u8
CCTV4,http://61.138.167.36:9901/tsfile/live/0004_1.m3u8
CCTV5,http://61.138.167.36:9901/tsfile/live/0005_1.m3u8
CCTV5+,http://61.138.167.36:9901/tsfile/live/0016_1.m3u8
CCTV6,http://61.138.167.36:9901/tsfile/live/0006_1.m3u8
CCTV7,http://61.138.167.36:9901/tsfile/live/0007_1.m3u8
CCTV8,http://61.138.167.36:9901/tsfile/live/0008_1.m3u8
CCTV9,http://61.138.167.36:9901/tsfile/live/0009_1.m3u8
CCTV10,http://61.138.167.36:9901/tsfile/live/0010_1.m3u8
CCTV11,http://61.138.167.36:9901/tsfile/live/0011_1.m3u8
CCTV12,http://61.138.167.36:9901/tsfile/live/0012_1.m3u8
CCTV13,http://61.138.167.36:9901/tsfile/live/0013_1.m3u8
CCTV14,http://61.138.167.36:9901/tsfile/live/0014_1.m3u8
CCTV15,http://61.138.167.36:9901/tsfile/live/0015_1.m3u8
CCTV16,http://61.138.167.36:9901/tsfile/live/1061_1.m3u8
CCTV17,http://61.138.167.36:9901/tsfile/live/1042_1.m3u8
CCTV1,http://183.65.9.200:8888/udp/235.254.199.51:7980#http://125.82.171.210:8888/udp/235.254.199.51:7980#http://14.105.22.165:1388/udp/235.254.199.51:7980
CCTV2,http://183.65.9.200:8888/udp/235.254.199.52:7980#http://125.82.171.210:8888/udp/235.254.199.52:7980#http://14.105.22.165:1388/udp/235.254.199.52:7980
CCTV3,http://183.65.9.200:8888/udp/235.254.199.53:7980#http://125.82.171.210:8888/udp/235.254.199.53:7980#http://14.105.22.165:1388/udp/235.254.199.53:7980
CCTV4,http://183.65.9.200:8888/udp/235.254.199.183:7980#http://125.82.171.210:8888/udp/235.254.199.183:7980#http://14.105.22.165:1388/udp/235.254.199.183:7980
CCTV5,http://183.65.9.200:8888/udp/235.254.199.54:7980#http://125.82.171.210:8888/udp/235.254.199.54:7980#http://14.105.22.165:1388/udp/235.254.199.54:7980
CCTV5+,http://183.65.9.200:8888/udp/235.254.199.121:7980#http://125.82.171.210:8888/udp/235.254.199.121:7980#http://14.105.22.165:1388/udp/235.254.199.121:7980
CCTV6,http://183.65.9.200:8888/udp/235.254.199.55:7980#http://125.82.171.210:8888/udp/235.254.199.55:7980#http://14.105.22.165:1388/udp/235.254.199.55:7980
CCTV7,http://183.65.9.200:8888/udp/235.254.199.56:7980#http://125.82.171.210:8888/udp/235.254.199.56:7980#http://14.105.22.165:1388/udp/235.254.199.56:7980
CCTV8,http://183.65.9.200:8888/udp/235.254.199.57:7980#http://125.82.171.210:8888/udp/235.254.199.57:7980#http://14.105.22.165:1388/udp/235.254.199.57:7980
CCTV9,http://183.65.9.200:8888/udp/235.254.199.58:7980#http://125.82.171.210:8888/udp/235.254.199.58:7980#http://14.105.22.165:1388/udp/235.254.199.58:7980
CCTV10,http://183.65.9.200:8888/udp/235.254.199.59:7980#http://125.82.171.210:8888/udp/235.254.199.59:7980#http://14.105.22.165:1388/udp/235.254.199.59:7980
CCTV11,http://183.65.9.200:8888/udp/235.254.196.161:7980#http://125.82.171.210:8888/udp/235.254.196.161:7980#http://14.105.22.165:1388/udp/235.254.196.161:7980
CCTV12,http://183.65.9.200:8888/udp/235.254.199.60:7980#http://125.82.171.210:8888/udp/235.254.199.60:7980#http://14.105.22.165:1388/udp/235.254.199.60:7980
CCTV13,http://183.65.9.200:8888/udp/235.254.196.162:7980#http://125.82.171.210:8888/udp/235.254.196.162:7980#http://14.105.22.165:1388/udp/235.254.196.162:7980
CCTV14,http://183.65.9.200:8888/udp/235.254.199.61:7980#http://125.82.171.210:8888/udp/235.254.199.61:7980#http://14.105.22.165:1388/udp/235.254.199.61:7980
CCTV15,http://183.65.9.200:8888/udp/235.254.196.163:7980#http://125.82.171.210:8888/udp/235.254.196.163:7980#http://14.105.22.165:1388/udp/235.254.196.163:7980
CCTV16,http://cyz32.livehbindex.hbcatv.cn/live/50000020c65d4a6b9b4e278405124734.m3u8?bitrate=2300&pt=5
CCTV17,http://183.65.9.200:8888/udp/235.254.199.130:7980#http://125.82.171.210:8888/udp/235.254.199.130:7980#http://14.105.22.165:1388/udp/235.254.199.130:7980
CCTV1,http://cyz32.livehbindex.hbcatv.cn/live/50000020935c4d59965a1cbf159c9be9.m3u8?bitrate=2300&pt=5
CCTV2,http://cyz32.livehbindex.hbcatv.cn/live/50000020d7ae404dbd55b5d0ba6fe735.m3u8?bitrate=2300&pt=5
CCTV3,http://cyz32.livehbindex.hbcatv.cn/live/50000020425540c3b4e7c41ca3eabb76.m3u8?bitrate=2300&pt=5
CCTV4,http://cyz32.livehbindex.hbcatv.cn/live/5b0dff5235e94ba8bff8731427145289.m3u8?bitrate=2300&pt=5
CCTV5,http://cyz32.livehbindex.hbcatv.cn/live/500000206cd748d58f41b13aa2754139.m3u8?bitrate=2300&pt=5
CCTV5+,http://cyz32.livehbindex.hbcatv.cn/live/50000020484943edba96ac9f93f858ce.m3u8?bitrate=2300&pt=5
CCTV6,http://cyz32.livehbindex.hbcatv.cn/live/50000020da6d4c40a2ca3b1bdc786016.m3u8?bitrate=2300&pt=5
CCTV7,http://cyz32.livehbindex.hbcatv.cn/live/500000204daa45af99b5800a528fac21.m3u8?bitrate=2300&pt=5
CCTV8,http://cyz32.livehbindex.hbcatv.cn/live/500000202d8c4f56ba03e623caa09f1b.m3u8?bitrate=2300&pt=5
CCTV9,http://cyz32.livehbindex.hbcatv.cn/live/50000020edf54f6c92778d0ccdfcca30.m3u8?bitrate=2300&pt=5
CCTV10,http://cyz32.livehbindex.hbcatv.cn/live/a66832f3323643189c3a0e91f9fad3e3.m3u8?bitrate=2300&pt=5
CCTV11,http://cyz32.livehbindex.hbcatv.cn/live/5000002086444f0886ad7032ad8f756b.m3u8?bitrate=2300&pt=5
CCTV12,http://cyz32.livehbindex.hbcatv.cn/live/fbe7688bc539461da71ff649e4ba1d75.m3u8?bitrate=2300&pt=5
CCTV13,http://cyz32.livehbindex.hbcatv.cn/live/5000002081f5478882f00a0f9be4b01f.m3u8?bitrate=2300&pt=5
CCTV14,http://cyz32.livehbindex.hbcatv.cn/live/8a22035194884b1eb5515aac434c313c.m3u8?bitrate=2300&pt=5
CCTV15,http://cyz32.livehbindex.hbcatv.cn/live/50000020f44f4f4b8aa33925dba216df.m3u8?bitrate=2300&pt=5
CCTV17,http://cyz32.livehbindex.hbcatv.cn/live/500000208b8d41c4b436ef32428c229d.m3u8?bitrate=2300&pt=5
CCTV1,https://live.goodiptv.club/aishang/cctv1hd
CCTV2,https://live.goodiptv.club/aishang/cctv2hd
CCTV3,https://live.goodiptv.club/aishang/cctv3hd
CCTV4,https://live.goodiptv.club/aishang/cctv4hd
CCTV5,https://live.goodiptv.club/aishang/cctv5hd
CCTV5+,https://live.goodiptv.club/aishang/cctv5p
CCTV6,https://live.goodiptv.club/aishang/cctv6hd
CCTV7,https://live.goodiptv.club/aishang/cctv7hd
CCTV8,https://live.goodiptv.club/aishang/cctv8hd
CCTV9,https://live.goodiptv.club/aishang/cctv9hd2
CCTV10,https://live.goodiptv.club/aishang/cctv10hd
CCTV11,https://live.goodiptv.club/aishang/cctv11hd
CCTV12,https://live.goodiptv.club/aishang/cctv12hd
CCTV13,https://live.goodiptv.club/aishang/cctv13hd
CCTV14,https://live.goodiptv.club/aishang/cctv14hd
CCTV15,https://live.goodiptv.club/aishang/cctv15hd
CCTV16,https://live.goodiptv.club/aishang/cctv16hd
CCTV17,https://live.goodiptv.club/aishang/cctv17hd
CCTV1,https://live.goodiptv.club/api/bestv.php?id=cctv1hd8m/8000000
CCTV2,https://live.goodiptv.club/api/bestv.php?id=cctv2hd8m/8000000
CCTV3,https://live.goodiptv.club/api/bestv.php?id=cctv38m/8000000
CCTV4,https://live.goodiptv.club/api/bestv.php?id=cctv4hd8m/8000000
CCTV5,https://live.goodiptv.club/api/bestv.php?id=cctv58m/8000000
CCTV5+,https://live.goodiptv.club/api/bestv.php?id=cctv5phd8m/8000000
CCTV6,https://live.goodiptv.club/api/bestv.php?id=cctv6hd8m/8000000
CCTV7,https://live.goodiptv.club/api/bestv.php?id=cctv7hd8m/8000000
CCTV8,https://live.goodiptv.club/api/bestv.php?id=cctv8hd8m/8000000
CCTV9,https://live.goodiptv.club/api/bestv.php?id=cctv9hd8m/8000000
CCTV10,https://live.goodiptv.club/api/bestv.php?id=cctv10hd8m/8000000
CCTV11,https://live.goodiptv.club/api/bestv.php?id=cctv11hd8m/8000000
CCTV12,https://live.goodiptv.club/api/bestv.php?id=cctv12hd8m/8000000
CCTV13,https://live.goodiptv.club/api/bestv.php?id=cctv13xwhd8m/8000000
CCTV14,https://live.goodiptv.club/api/bestv.php?id=cctvsehd8m/8000000
CCTV15,https://live.goodiptv.club/api/bestv.php?id=cctv15hd8m/8000000
CCTV16,https://live.goodiptv.club/api/bestv.php?id=cctv16hd8m/8000000
CCTV17,https://live.goodiptv.club/api/bestv.php?id=cctv17hd8m/8000000
CCTV1,https://live.goodiptv.club/api/cqyx.php?id=cctv1HD
CCTV2,https://live.goodiptv.club/api/cqyx.php?id=cctv2HD
CCTV3,https://live.goodiptv.club/api/cqyx.php?id=cctv3HD
CCTV4,https://live.goodiptv.club/api/cqyx.php?id=cctv4HD
CCTV5,https://live.goodiptv.club/api/cqyx.php?id=cctv5HD
CCTV5+,https://live.goodiptv.club/api/cqyx.php?id=cctv5SportHD
CCTV6,https://live.goodiptv.club/api/cqyx.php?id=cctv6HD
CCTV7,https://live.goodiptv.club/api/cqyx.php?id=cctv7HD
CCTV8,https://live.goodiptv.club/api/cqyx.php?id=cctv8HD
CCTV9,https://live.goodiptv.club/api/cqyx.php?id=cctv9HD
CCTV10,https://live.goodiptv.club/api/cqyx.php?id=cctv10HD
CCTV11,https://live.goodiptv.club/api/cqyx.php?id=cctv11HD
CCTV12,https://live.goodiptv.club/api/cqyx.php?id=cctv12HD
CCTV13,https://live.goodiptv.club/api/cqyx.php?id=CCTVNewsHD
CCTV14,https://live.goodiptv.club/api/cqyx.php?id=cctvseHD
CCTV15,https://live.goodiptv.club/api/cqyx.php?id=cctv15HD
CCTV16,https://live.goodiptv.club/api/cqyx.php?id=cctv16HD
CCTV17,https://live.goodiptv.club/api/cqyx.php?id=cctv17HD
